TxBENCH,0.96 beta,詳細ベンチマーク,

経過時間,現在の読み込み mB/s,現在の書き込み mB/s,現在の読み込み MB/s,現在の書き込み MB/s,現在の読み込み IO/s,現在の書き込み IO/s,現在の読み込み平均応答時間(ms),現在の書き込み平均応答時間(ms),現在の読み込み最小応答時間(ms),現在の書き込み最小応答時間(ms),現在の読み込み最大応答時間(ms),現在の書き込み最大応答時間(ms),現在の読み込みバイト数,現在の書き込みバイト数,現在の読み込みI/O数,現在の書き込みI/O数,全体の読み込み mB/s,全体の書き込み mB/s,全体の読み込み MB/s,全体の書き込み MB/s,全体の読み込み IO/s,全体の書き込み IO/s,全体の読み込み平均応答時間(ms),全体の書き込み平均応答時間(ms),全体の読み込み最小応答時間(ms),全体の書き込み最小応答時間(ms),全体の読み込み最大応答時間(ms),全体の書き込み最大応答時間(ms),全体の読み込みバイト数,全体の書き込みバイト数,全体の読み込みI/O数,全体の書き込みI/O数,
0:00:00:995,0.000000,4.414190,0.000000,4.209699,0.000000,1077.683000,0.000000,0.926860,0.000000,0.177200,0.000000,44.823700,0,4378624,0,1069,0.000000,4.414190,0.000000,4.209699,0.000000,1077.683000,0.000000,0.926860,0.000000,0.177200,0.000000,44.823700,0,4378624,0,1069,
0:00:01:995,0.000000,4.074231,0.000000,3.885489,0.000000,994.685282,0.000000,0.993881,0.000000,0.180600,0.000000,42.755200,0,4075520,0,995,0.000000,4.243496,0.000000,4.046913,0.000000,1036.009720,0.000000,0.959169,0.000000,0.177200,0.000000,44.823700,0,8454144,0,2064,
0:00:02:994,0.000000,3.912952,0.000000,3.731682,0.000000,955.310591,0.000000,1.048232,0.000000,0.175300,0.000000,43.269900,0,3907584,0,954,0.000000,4.133131,0.000000,3.941660,0.000000,1009.065069,0.000000,0.987322,0.000000,0.175300,0.000000,44.823700,0,12361728,0,3018,
0:00:03:995,0.000000,4.294166,0.000000,4.095236,0.000000,1048.380357,0.000000,0.960828,0.000000,0.178700,0.000000,39.071900,0,4300800,0,1050,0.000000,4.173528,0.000000,3.980186,0.000000,1018.927735,0.000000,0.980484,0.000000,0.175300,0.000000,44.823700,0,16662528,0,4068,
0:00:04:994,0.000000,3.937950,0.000000,3.755521,0.000000,961.413470,0.000000,1.036077,0.000000,0.181100,0.000000,40.348600,0,3932160,0,960,0.000000,4.126396,0.000000,3.935238,0.000000,1007.420994,0.000000,0.991098,0.000000,0.175300,0.000000,44.823700,0,20594688,0,5028,
0:00:05:994,0.000000,4.179969,0.000000,3.986330,0.000000,1020.500363,0.000000,0.981081,0.000000,0.176800,0.000000,36.030700,0,4182016,0,1021,0.000000,4.135342,0.000000,3.943770,0.000000,1009.605068,0.000000,0.989408,0.000000,0.175300,0.000000,44.823700,0,24776704,0,6049,
0:00:06:994,0.000000,4.098056,0.000000,3.908211,0.000000,1000.502052,0.000000,0.986934,0.000000,0.179000,0.000000,43.399300,0,4096000,0,1000,0.000000,4.130012,0.000000,3.938686,0.000000,1008.303607,0.000000,0.989057,0.000000,0.175300,0.000000,44.823700,0,28872704,0,7049,
0:00:07:994,0.000000,4.389005,0.000000,4.185682,0.000000,1071.534525,0.000000,0.943907,0.000000,0.178400,0.000000,159.061200,0,4390912,0,1072,0.000000,4.162435,0.000000,3.969607,0.000000,1016.219430,0.000000,0.983097,0.000000,0.175300,0.000000,159.061200,0,33263616,0,8121,
0:00:08:996,0.000000,6.382269,0.000000,6.086606,0.000000,1558.171174,0.000000,0.630939,0.000000,0.187000,0.000000,28.843400,0,6389760,0,1560,0.000000,4.409577,0.000000,4.205300,0.000000,1076.556860,0.000000,0.926350,0.000000,0.175300,0.000000,159.061200,0,39653376,0,9681,
0:00:09:995,0.000000,5.977485,0.000000,5.700574,0.000000,1459.346977,0.000000,0.694930,0.000000,0.189600,0.000000,35.455100,0,5971968,0,1458,0.000000,4.566354,0.000000,4.354815,0.000000,1114.832557,0.000000,0.896059,0.000000,0.175300,0.000000,159.061200,0,45625344,0,11139,
0:00:10:995,0.000000,5.291666,0.000000,5.046526,0.000000,1291.910729,0.000000,0.765036,0.000000,0.181100,0.000000,130.450700,0,5292032,0,1292,0.000000,4.632346,0.000000,4.417749,0.000000,1130.943836,0.000000,0.882441,0.000000,0.175300,0.000000,159.061200,0,50917376,0,12431,
0:00:11:995,0.000000,5.769595,0.000000,5.502314,0.000000,1408.592494,0.000000,0.716322,0.000000,0.186900,0.000000,40.687300,0,5771264,0,1409,0.000000,4.727207,0.000000,4.508216,0.000000,1154.103370,0.000000,0.865529,0.000000,0.175300,0.000000,159.061200,0,56688640,0,13840,
0:00:12:995,0.000000,6.202792,0.000000,5.915444,0.000000,1514.353602,0.000000,0.651113,0.000000,0.179200,0.000000,33.181800,0,6201344,0,1514,0.000000,4.840759,0.000000,4.616508,0.000000,1181.826028,0.000000,0.844386,0.000000,0.175300,0.000000,159.061200,0,62889984,0,15354,
0:00:13:994,0.000000,6.012714,0.000000,5.734171,0.000000,1467.947854,0.000000,0.685839,0.000000,0.181300,0.000000,34.946800,0,6008832,0,1467,0.000000,4.924470,0.000000,4.696340,0.000000,1202.263076,0.000000,0.830559,0.000000,0.175300,0.000000,159.061200,0,68898816,0,16821,
0:00:14:995,0.000000,6.300647,0.000000,6.008765,0.000000,1538.243953,0.000000,0.652164,0.000000,0.187200,0.000000,27.726400,0,6303744,0,1539,0.000000,5.016311,0.000000,4.783927,0.000000,1224.685358,0.000000,0.815606,0.000000,0.175300,0.000000,159.061200,0,75202560,0,18360,
0:00:15:994,0.000000,6.256049,0.000000,5.966234,0.000000,1527.355834,0.000000,0.653817,0.000000,0.188800,0.000000,29.627300,0,6250496,0,1526,0.000000,5.093771,0.000000,4.857799,0.000000,1243.596441,0.000000,0.803190,0.000000,0.175300,0.000000,159.061200,0,81453056,0,19886,
0:00:16:994,0.000000,6.483709,0.000000,6.183346,0.000000,1582.936683,0.000000,0.629049,0.000000,0.185900,0.000000,31.975900,0,6483968,0,1583,0.000000,5.175580,0.000000,4.935818,0.000000,1263.569289,0.000000,0.790350,0.000000,0.175300,0.000000,159.061200,0,87937024,0,21469,
0:00:17:994,0.000000,6.565900,0.000000,6.261731,0.000000,1603.003046,0.000000,0.624607,0.000000,0.188500,0.000000,26.504000,0,6565888,0,1603,0.000000,5.252859,0.000000,5.009517,0.000000,1282.436373,0.000000,0.778835,0.000000,0.175300,0.000000,159.061200,0,94502912,0,23072,
